name, state
New York, New York
Los Angeles, California
Chicago, Illinois
Houston, Texas
Philadelphia, Pennsylvania
Phoenix, Arizona
San Antonio, Texas
San Diego, Califonia
Dallas, Texas
San Jose, California
Austin, Texas
Jacksonville, Florida
San Francisco, Califonia
Indianapolis, Indiana
Columbus, Ohio
Fort Worth, Texas
Charlotte, North Carolina
Seattle, Washington
Denver, Colorado
El Paso, Texas
Detroit, Michigan
Washington, D.C.
Boston, Massachusettes
Memphis, Tennessee
Nashville, Tennesee
Portland, Oregon
Oklahoma City, Oklahoma
Las Vegas, Nevada
Baltimore, Maryland
Louisville, Kentucky
Milwaukee, Wisconsin
Albuquerque, New Mexico
Tucson, Arizona
Fresno, Califonia
Sacramento, Califonia
Kansas City, Missouri
Long Beach, Califonia
Mesa, Arizona
Atlanta, Georgia
Colorado Springs, Colorado
Virginia Beach, Virginia
Raleigh, North Carolina
Omaha, Nebraska
Miami, Florida
Oakland, California
Minneapolis, Minnesota
Tulsa, Oklahoma
Wichita, Kansas
New Orleans, Louisiana
Arlington, Texas
